Compound,Compound ID,Adducts,Formula,Score,Mass Error (ppm),Isotope Similarity,Theoretical Isotope Distribution,Description,m/z,Charge,Retention time (min),Anova (p),q Value,Max Fold Change,,Endogenous and blood,
0.70_297.2393m/z,HMDB0000782,M+H-H2O,C18H34O4,34.6,-9.990652773,83.79414422,100 - 20 - 2.72 - 0.277,Octadecanedioic acid,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,exogenous,Endogenous or  blood,
0.70_297.2393m/z,HMDB0004704,M+H-H2O,C18H34O4,34.6,-9.990652773,83.79414422,100 - 20 - 2.72 - 0.277,"9,10-DHOME",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,exogenous,
0.70_297.2393m/z,HMDB0004705,M+H-H2O,C18H34O4,34.6,-9.990652773,83.79414422,100 - 20 - 2.72 - 0.277,"12,13-DHOME",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0031679,M+H-H2O,C18H34O4,34.6,-9.990652773,83.79414422,100 - 20 - 2.72 - 0.277,"(9xi,10xi,12xi)-9,10-Dihydroxy-12-octadecenoic acid",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0041220,M+H-H2O,C18H34O4,34.6,-9.990652773,83.79414422,100 - 20 - 2.72 - 0.277,Dibutyl decanedioate,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0004667,M+H,C18H32O3,34.5,-10.59806078,84.01363708,100 - 20 - 2.5 - 0.235,13S-hydroxyoctadecadienoic acid,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0004670,M+H,C18H32O3,34.5,-10.59806078,84.01363708,100 - 20 - 2.5 - 0.235,Alpha-dimorphecolic acid,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0004701,M+H,C18H32O3,34.5,-10.59806078,84.01363708,100 - 20 - 2.5 - 0.235,"9,10-Epoxyoctadecenoic acid",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0004702,M+H,C18H32O3,34.5,-10.59806078,84.01363708,100 - 20 - 2.5 - 0.235,"12,13-EpOME",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0010223,M+H,C18H32O3,34.5,-10.59806078,84.01363708,100 - 20 - 2.5 - 0.235,9-HODE,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
